id	document	label
0	테레비에 예약된 프로들	0
1	테레비에 오늘 예약된 프로들	0
2	오늘 테레비에 예약된 프로들	0
3	테레비에 다음주 예약된 프로들	0
4	다음주 테레비에 예약된 프로들	0
5	테레비에 오후에 예약된 프로들	0
6	오후에 테레비에 예약된 프로들	0
7	테레비에 2시에 예약된 프로들	0
8	2시에 테레비에 예약된 프로들	0
9	테레비에 12시에 예약된 프로들	0
10	12시에 테레비에 예약된 프로들	0
11	테레비에 22시에 예약된 프로들	0
12	22시에 테레비에 예약된 프로들	0
13	테레비에 오전 3시에 예약된 프로들	0
14	오전 3시에 테레비에 예약된 프로들	0
15	테레비에 오후 3시에 예약된 프로들	0
16	오후 3시에 테레비에 예약된 프로들	0
17	테레비에 오전 9시에 예약된 프로들	0
18	오전 9시에 테레비에 예약된 프로들	0
19	테레비에 오후 9시에 예약된 프로들	0
20	오후 9시에 테레비에 예약된 프로들	0
21	테레비에 2일 뒤에 예약된 프로들	0
22	2일 뒤에 테레비에 예약된 프로들	0
23	테레비에 6일 뒤에 예약된 프로들	0
24	6일 뒤에 테레비에 예약된 프로들	0
25	테레비에 예약했었던 프로들	0
26	테레비에 오늘 예약했었던 프로들	0
27	오늘 테레비에 예약했었던 프로들	0
28	테레비에 다음주 예약했었던 프로들	0
29	다음주 테레비에 예약했었던 프로들	0
30	테레비에 오후에 예약했었던 프로들	0
31	오후에 테레비에 예약했었던 프로들	0
32	테레비에 2시에 예약했었던 프로들	0
33	2시에 테레비에 예약했었던 프로들	0
34	테레비에 12시에 예약했었던 프로들	0
35	12시에 테레비에 예약했었던 프로들	0
36	테레비에 22시에 예약했었던 프로들	0
37	22시에 테레비에 예약했었던 프로들	0
38	테레비에 오전 3시에 예약했었던 프로들	0
39	오전 3시에 테레비에 예약했었던 프로들	0
40	테레비에 오후 3시에 예약했었던 프로들	0
41	오후 3시에 테레비에 예약했었던 프로들	0
42	테레비에 오전 9시에 예약했었던 프로들	0
43	오전 9시에 테레비에 예약했었던 프로들	0
44	테레비에 오후 9시에 예약했었던 프로들	0
45	오후 9시에 테레비에 예약했었던 프로들	0
46	테레비에 2일 뒤에 예약했었던 프로들	0
47	2일 뒤에 테레비에 예약했었던 프로들	0
48	테레비에 6일 뒤에 예약했었던 프로들	0
49	6일 뒤에 테레비에 예약했었던 프로들	0
50	테레비에 예약된 프로그램	0
51	테레비에 오늘 예약된 프로그램	0
52	오늘 테레비에 예약된 프로그램	0
53	테레비에 다음주 예약된 프로그램	0
